LOCATION_ID,ACCESS_ID,LOCATION_NM,BRAND_CD,LOCATION_TYPE,OWNERSHIP,GAS_BRAND_TXT,FSR_NM,RESTAURANT_FRANCHISE_FLG,ADDRESS_TXT,CITY_TXT,STATE_TXT,ZIP_CD,REGION_TXT,DISTRICT_TXT,LAT,LON
86,," Virtual Headquarters",TA,HQ,COCO,,,,24601 Center Ridge Rd.,Westlake,Ohio,44145,,,41.4565000,-81.8942000
701,6701,Goasis Ashland,Goasis,Co-Co,COCO,BP,,,715 US 250 East,Ashland,Ohio,44805,Northeast / 01,002,40.8566000,-82.2623000
481,6481,Goasis Breezewood,Goasis,Co-Co,COCO,Mobil,,,16520 Lincoln HWY,Breezewood,Pennsylvania,15533,Northeast / 01,003,39.9987550,-78.2356436
483,6483,Goasis Coburg Crossing,Goasis,Co-Co,COCO,Arco,,,91039 Coburg Industrial Way,Coburg,Oregon,97408,Western / 04,023,44.1351000,-123.0549100
487,,Goasis Stony Creek,Goasis,Co-Co,COCO,Mobil,,,10396 Blue Star Hwy,Stony Creek,Virginia,23882,Northeast / 01,006,36.9769410,-77.3943130
263,13263,Goasis Wheeler Ridge,Goasis,Co-Co,COCO,Shell,,,5615 Laval Road,Arvin,California,93203,Western / 04,026,34.9895900,-118.9408000
20,,Open Road Distributing East,TA,HQ,COCO,,,,329 Mason Road,LaVergne,Tennessee,37086-3606,,,36.0145300,-86.6154400
400,,Open Road Distributing West,TA,HQ,COCO,,,,4302 W Buckeye Rd. Suite 115,Phoenix,Arizona,85043,,,33.4382967,-112.1542765
398,6398,Petro Albert Lea,Petro,Fo-Fo,Franchise,Petro,Skol Tavern,FALSE,820 Happy Trails Lane,Albert Lea,Minnesota,56007,Northeast / 01,097,43.6571000,-93.3174000
307,6307,Petro Amarillo,Petro,Co-Co,COCO,Valero,Iron Skillet,FALSE,8500 E I-40 @ Lakeside Drive,Amarillo,Texas,79118,Western / 04,029,35.1917000,-101.7437000
535,6535,Petro Angola,Petro,Fo-Fo,Franchise,BP,Miss J's Diner,TRUE,7265 North Baker Road,Fremont,Indiana,46737,Northeast / 01,097,41.7483000,-84.9932000
322,6322,Petro Atlanta,Petro,Co-Co,COCO,Amoco,Iron Skillet,FALSE,3181 Donald Lee Hollowell Pkwy.,Atlanta,Georgia,30318,Northeast / 01,013,33.7865000,-84.4905000
612,,Petro Atlanta Burger King,Petro,Co-Co,COCO,,,,3195 Donald Lee Hollowell Pkwy,Atlanta,Georgia,30318,Northeast / 01,001,33.7865423,-84.4914881
304,6304,Petro Beaumont,Petro,Co-Co,COCO,Phillips,Black Bear Diner,FALSE,5405 Walden Rd,Beaumont,Texas,77705,Western / 04,027,30.0370000,-94.1561000
314,6314,Petro Bordentown,Petro,Co-Co,COCO,Amoco,Iron Skillet,FALSE,402 Rising Sun Square Road,Bordentown,New Jersey,08505,Northeast / 01,004,40.1234000,-74.7131000
376,6376,Petro Brazil,Petro,Co-Co,COCO,Amoco,Iron Skillet,FALSE,1035 W. State Road 42,Brazil,Indiana,47834,Northeast / 01,018,39.4455000,-87.1270000
319,6319,Petro Bucksville,Petro,Co-Co,COCO,Marathon,Iron Skillet,FALSE,22526 Highway 216,McCalla,Alabama,35111,Northeast / 01,013,33.2796000,-87.0919000
336,6336,Petro Carlisle,Petro,Co-Co,COCO,,Iron Skillet,FALSE,"1201 Harrisburg Ave, Route 11",Carlisle,Pennsylvania,17013,Northeast / 01,003,40.2319000,-77.1418000
377,6377,Petro Carnesville,Petro,Co-Co,COCO,BP,Iron Skillet,FALSE,10200 Old Federal Rd.,Carnesville,Georgia,30521,Northeast / 01,007,34.3481000,-83.3199000
389,6389,Petro Clearwater,Petro,Fo-Fo,Franchise,Holiday,Nelson Brothers,TRUE,950 State Highway 24,Clearwater,Minnesota,55320,Northeast / 01,097,45.4126000,-94.0549000
386,6386,Petro Colby,Petro,Fo-Fo,Franchise,Cenex,,,700 West Horton,Colby,Kansas,67701,Western / 04,099,39.3617000,-101.0537000
238,6238,Petro Columbia,Petro,Co-Co,COCO,BP,Quaker Steak & Lube,FALSE,2154 S. Beltline Blvd.,Columbia,South Carolina,29201,Northeast / 01,007,33.9533000,-80.9896000
309,6309,Petro Corning,Petro,Co-Co,COCO,Mobil,Iron Skillet,FALSE,2151 South Avenue,Corning,California,96021,Western / 04,023,39.9059000,-122.1967000
385,6385,Petro Deming,Petro,Co-Co,COCO,Valero,Iron Skillet,FALSE,14150 STE C Hwy 418 SW,Deming,New Mexico,88030,Western / 04,030,32.2386000,-107.9927000
485,6485,Petro Dodge City,Petro,Co-Co,COCO,BP,,,426 Alabama Highway 69 S,Hanceville,Alabama,35077,Northeast / 01,013,34.0507800,-86.8723400
321,6321,Petro Effingham,Petro,Co-Co,COCO,BP,IHOP,FALSE,1805 West Fayette Ave,Effingham,Illinois,62401,Northeast / 01,018,39.1197000,-88.5723000
534,6534,Petro Egan,Petro,Fo-Fo,Franchise,Petro,,,114 Jasmin,Egan,Louisiana,70531,Northeast / 01,098,30.2314000,-92.4624000
301,6301,Petro El Paso,Petro,Co-Co,COCO,Valero,Black Bear Diner,FALSE,1295 Horizon Blvd.,El Paso,Texas,79927,Western / 04,027,31.6609000,-106.2424000
306,6306,Petro Eloy,Petro,Co-Co,COCO,Shell,Black Bear Diner,FALSE,5235 N. Sunland Gin Rd.,Casa Grande,Arizona,85131,Western / 04,032,32.8124000,-111.6702000
361,6361,Petro Fargo,Petro,Fo-Fo,Franchise,Unbranded,Dolly Down,TRUE,4510 19th Ave S.W.,Fargo,North Dakota,58103,Northeast / 01,097,46.8503000,-96.8632000
393,6393,Petro Florence,Petro,Co-Co,COCO,Amoco,Iron Skillet,FALSE,3001 TV Rd.,Florence,South Carolina,29501,Northeast / 01,006,34.2665000,-79.7321000
352,6352,Petro Gadsden,Petro,Co-Co,COCO,BP,,,1724 West Grand Avenue,Gadsden,Alabama,35904,Northeast / 01,013,33.9956000,-86.0827000
369,6369,Petro Gary,Petro,Co-Co,COCO,BP,Iron Skillet,FALSE,3001 Grant Street,Gary,Indiana,46408,Northeast / 01,016,41.5638000,-87.3557000
537,6537,Petro Gaston,Petro,Fo-Fo,Franchise,BP,Miss J's Diner,FALSE,14000 West State Road 28,Gaston,Indiana,47342,Northeast / 01,097,40.2772000,-85.5526000
320,6320,Petro Girard,Petro,Co-Co,COCO,BP,Iron Skillet,FALSE,1 Petro Place,Girard,Ohio,44420,Northeast / 01,002,41.1408000,-80.7172000
372,6372,Petro Glade Spring,Petro,Fo-Fo,Franchise,Gulf,,,12433 Maple St.,Glade Spring,Virginia,24340,Northeast / 01,098,36.7708000,-81.7793000
330,6330,Petro Glendale,Petro,Co-Co,COCO,Marathon,Iron Skillet,FALSE,554 W. Glendale Hodgenville Road,Glendale,Kentucky,42740,Northeast / 01,009,37.5984000,-85.8734000
379,6379,Petro Greensburg,Petro,Co-Co,COCO,BP,Iron Skillet,FALSE,1409 South County Rd. 850 East,Greensburg,Indiana,47240,Northeast / 01,009,39.3188000,-85.3260000
310,6310,Petro Hammond,Petro,Co-Co,COCO,Mobil,Iron Skillet,FALSE,2100 S.W. Railroad Ave.,Hammond,Louisiana,70403,Northeast / 01,015,30.4770000,-90.4579000
968,6968,Petro Henderson,Petro,Fo-Fo,Franchise,76,,,1700 Railroad Pass Casino Road,Henderson,Nevada,89002,Western / 04,099,35.9670745,-114.9156744
506,6506,Petro Jackson,Petro,Fo-Fo,Franchise,Phillips,,,970 W Frontage Road,Jackson,Mississippi,39201,Northeast / 01,098,32.2787000,-90.1977000
399,6399,Petro Johnson's Corner,Petro,Co-Co,COCO,Sinclair,Black Bear Diner,FALSE,2842 SE Frontage Road,Johnstown,Colorado,80534,Western / 04,020,40.3630000,-104.9840000
354,6354,Petro Joplin,Petro,Fo-Fo,Franchise,Phillips,Black Bear Diner,FALSE,4240 Highway 43,Joplin,Missouri,64804,Western / 04,097,37.0072000,-94.5523000
395,5026,Petro Kenly,Petro,Fo-Fo,Franchise,BP,Iron Skillet,TRUE,923 Johnston Pkwy.,Kenly,North Carolina,27542,Northeast / 01,098,35.5820000,-78.1457000
318,6318,Petro Kingdom City,Petro,Co-Co,COCO,BP,Iron Skillet,FALSE,3304 Gold Road,Kingdom City,Missouri,65262,Western / 04,019,38.9405000,-91.9399000
315,6315,Petro Kingman,Petro,Co-Co,COCO,Petro,Iron Skillet,FALSE,970 South Blake Ranch Road,Kingman,Arizona,86401,Western / 04,032,35.1779000,-113.7887000
344,6344,Petro Kingsland,Petro,Co-Co,COCO,Amoco,,,1105 East King Avenue,Kingsland,Georgia,31548,Northeast / 01,011,30.7942000,-81.6662000
349,6349,Petro Kingston Springs,Petro,Co-Co,COCO,BP,Iron Skillet,FALSE,162 Luyben Hills Road,Kingston Springs,Tennessee,37082,Northeast / 01,013,36.0824000,-87.0955000
312,6312,Petro Knoxville,Petro,Co-Co,COCO,BP,Iron Skillet,FALSE,722 Watt Road,Knoxville,Tennessee,37934,Northeast / 01,013,35.8750000,-84.2361000
303,6303,Petro Laramie,Petro,Co-Co,COCO,Sinclair,Iron Skillet,FALSE,1855 West Curtis,Laramie,Wyoming,82070,Western / 04,020,41.3287000,-105.6194000
329,6329,Petro Mebane,Petro,Co-Co,COCO,Marathon,IHOP,FALSE,500 Buckhorn Road,Mebane,North Carolina,27302,Northeast / 01,006,36.0772000,-79.2251000
313,6313,Petro Milan,Petro,Co-Co,COCO,Shell,Iron Skillet,FALSE,1430 Motel Drive,Milan,New Mexico,87021,Western / 04,030,35.1810000,-107.9038000
367,6367,Petro Monee,Petro,Co-Co,COCO,Amoco,,,5915 Monee Road,Monee,Illinois,60449,Northeast / 01,016,41.4258000,-87.7549000
326,6326,Petro N. Little Rock,Petro,Co-Co,COCO,Shell,Iron Skillet,FALSE,3205 Valentine Road,North Little Rock,Arkansas,72117,Western / 04,029,34.7810000,-92.1298000
388,6388,Petro Napoleon,Petro,Fo-Fo,Franchise,Petro,Miss J's Diner,TRUE,900 American Road,Napoleon,Ohio,43545,Northeast / 01,097,41.4178000,-84.1045000
357,6357,Petro New Paris,Petro,Co-Co,COCO,BP,Iron Skillet,FALSE,9787 US Route 40 West,New Paris,Ohio,45347,Northeast / 01,009,39.8346000,-84.8111000
325,6325,Petro North Baltimore,Petro,Co-Co,COCO,BP,IHOP,FALSE,12906 Deshler Rd.,North Baltimore,Ohio,45872,Northeast / 01,002,41.1738000,-83.6475000
533,6533,Petro North Hillsboro,Petro,Fo-Fo,Franchise,Exxon,,FALSE,101 Cornelius Road,Hillsboro,Texas,76645,Western / 04,098,32.0794000,-97.0552000
